ID,Attrition,Work Life Balance,Job Satisfaction,Marital status,Employment Type,Gender,Department,Salary,Monthly Income,Requested Days,Age
20000079,0,1,1,1,1,1,8,33500,40173.08,15,39
20000080,0,0,2,1,1,1,8,33500,40173.08,58,40
20000081,0,1,0,1,1,1,8,33500,40173.08,0,37
20000082,0,1,2,1,1,0,8,33500,40173.08,49,39
20000083,0,1,2,1,1,1,8,33500,40173.08,33,39
20000084,0,1,1,1,1,1,8,33500,40173.08,41,38
20000085,0,0,2,1,1,1,8,33500,40173.08,0,44
20000086,0,2,0,1,1,0,8,33500,40173.08,75,37
20000087,0,1,2,1,1,0,7,36250,42923.08,30,39
20000088,0,1,2,1,1,1,2,38000,44673.08,81,41
20000089,1,1,3,1,1,0,2,38000,44673.08,0,39
20000090,0,1,1,1,1,0,2,38000,44673.08,171,44
20000091,0,0,2,1,1,1,2,38000,44673.08,18,37
20000092,0,1,1,1,0,0,10,22850,29523.08,61,54
20000093,0,1,0,1,1,1,2,38000,44673.08,0,39
20000094,0,1,0,1,1,1,2,38000,44673.08,25,41
20000095,0,0,0,1,0,0,10,22850,29523.08,20,34
20000096,0,0,0,1,0,0,10,22850,29523.08,32,38
20000097,0,3,0,1,1,1,2,38000,44673.08,15,41
20000098,0,0,0,1,1,1,2,38000,44673.08,74,37
20000099,0,1,1,1,1,1,2,38000,46211.54,5,38
20000100,1,1,1,1,1,1,2,38000,46211.54,40,37
20000101,0,2,0,1,1,0,2,38000,46211.54,0,43
20000102,1,1,3,1,1,0,2,38000,46211.54,40,40
20000103,0,1,0,1,1,1,2,38000,46211.54,10,40
20000104,0,3,2,1,1,1,2,38000,46211.54,205,41
20000105,0,1,2,1,1,1,2,38000,46211.54,0,39
20000106,0,1,1,1,1,1,2,38000,46211.54,52,42
20000107,1,1,1,1,1,0,2,38000,46211.54,18,38
20000108,0,1,2,1,1,0,2,38000,46211.54,79,38
20000109,0,1,2,1,1,0,2,38000,46211.54,0,38
20000110,0,1,0,1,1,0,2,38000,46211.54,49,39
20000111,1,1,1,1,1,0,2,38000,46211.54,16,39
20000112,0,1,2,1,1,0,2,38000,46211.54,181,40
20000113,0,1,0,1,1,1,2,38000,46211.54,0,41
20000114,0,1,1,1,1,1,2,38000,46211.54,169,39
20000115,0,1,2,1,1,1,2,38000,46211.54,5,40
20000116,0,2,0,1,1,1,2,38000,46211.54,66,39
20000117,0,1,2,1,1,1,2,38000,46211.54,0,40
20000118,0,1,2,1,1,1,2,38000,46211.54,61,39
20000119,0,3,2,1,0,1,10,22850,31061.54,30,52
20000120,0,0,0,1,1,1,2,38000,46211.54,171,41
20000121,0,1,1,1,1,1,2,38000,46211.54,0,40
20000122,1,1,0,1,1,1,2,38000,46211.54,38,39
20000123,0,1,0,1,1,1,2,38000,46211.54,10,40
20000124,1,3,3,1,1,1,2,38000,46211.54,83,47
20000125,0,1,1,1,1,1,2,38000,46211.54,20,40
20000126,1,3,3,1,1,1,2,38000,46211.54,70,39
20000127,1,3,3,1,1,1,2,38000,46211.54,15,39
20000128,0,1,2,1,1,1,2,38000,46211.54,150,40
20000129,0,1,0,1,1,1,2,38000,46211.54,0,38
20000130,0,1,0,1,1,1,2,38000,46211.54,63,39
20000131,0,1,2,1,1,1,2,38000,46211.54,25,41
20000132,1,1,1,1,1,1,2,38000,38000,52,39
20000133,0,1,0,1,1,0,2,38000,38000,0,38
20000134,0,1,0,1,1,1,2,38000,38000,48,40
20000135,0,1,1,1,1,1,2,38000,40353,25,38
20000136,1,1,3,1,1,0,2,38000,40353,68,38
20000137,0,3,0,1,1,0,2,38000,40353,0,37
20000138,0,1,0,1,1,0,2,38000,40353,63,38
20000139,0,0,2,1,1,0,2,38000,40353,141,38
20000140,1,1,1,1,1,0,2,38000,40353,32,38
20000141,0,0,2,1,1,0,2,38000,40353,0,45
20000142,0,1,0,1,1,1,2,38000,40353,12,52
20000143,0,0,0,1,1,0,2,38000,40353,20,35
20000144,0,3,2,1,1,1,2,38000,40353,84,35
20000145,0,2,0,1,1,1,2,38000,40353,0,40
20000146,0,1,2,1,1,0,2,38000,40353,88,36
20000147,0,1,0,1,1,1,2,38000,40353,120,36
20000148,0,2,0,1,1,1,2,38000,40353,170,40
20000149,0,1,1,1,1,1,2,38000,40353,0,39
20000150,0,1,1,1,1,1,2,38000,40353,154,37
20000151,0,1,1,1,1,1,2,38000,40353,120,39
20000152,0,0,0,1,1,1,2,38000,40353,167,40
20000153,0,1,1,1,1,1,2,38000,40353,1,40
20000154,0,1,2,1,1,1,2,38000,40353,59,40
20000155,0,1,0,1,1,1,2,38000,40353,30,38
20000156,0,1,0,1,1,1,2,38000,40353,158,35
20000157,0,1,1,1,1,1,2,38000,40353,0,35
20000158,0,0,2,1,1,1,2,38000,40353,42,44
20000159,0,1,0,1,1,1,2,38000,40353,8,41
20000160,0,1,2,1,0,1,10,22850,25203,161,43
20000161,0,1,1,1,1,1,2,38000,40353,0,38
20000162,0,0,2,1,1,0,2,38000,40353,143,37
20000163,0,0,2,1,1,0,2,38000,40353,15,38
20000164,0,0,0,1,1,1,2,38000,40353,65,39
20000165,0,1,1,1,1,1,2,38000,38000,0,38
20000166,0,1,0,1,1,0,2,38000,38000,45,37
20000167,0,1,2,1,1,1,2,38000,38000,14,40
20000168,0,3,2,1,1,1,2,38000,38000,47,39
20000169,0,1,0,1,1,1,2,38000,38000,0,40
20000170,0,1,1,1,1,1,2,38000,38000,31,43
20000171,1,1,1,1,1,1,2,38000,38000,27,39
20000172,0,1,1,1,1,1,2,38000,38000,51,40
20000173,0,2,0,1,1,1,2,38000,38000,0,40
20000174,0,3,0,1,1,0,2,38000,38000,47,39
20000175,0,2,0,1,1,0,2,38000,38000,10,38
20000176,0,3,2,1,1,1,2,38000,38000,86,38
20000177,1,3,3,1,1,0,2,38000,38000,0,33
20000178,0,2,0,1,1,0,2,38000,38000,40,35
20000179,0,1,2,0,1,1,2,38000,38000,28,43
20000180,0,1,2,0,1,1,2,38000,38000,20,41
20000181,0,1,1,0,1,1,2,38000,38000,20,40
20000182,1,3,3,0,1,1,2,38000,38000,43,37
20000183,0,0,0,0,1,0,2,38000,38000,15,35
20000184,0,2,0,0,1,1,2,38000,38000,95,37
20000185,0,1,1,0,1,1,2,38000,38000,0,38
20000186,0,1,0,0,1,1,2,38000,38000,41,37
20000187,0,1,1,1,1,1,2,38000,38000,25,40
20000188,0,0,0,0,1,0,2,38000,38000,57,39
20000189,0,1,1,0,1,1,2,38000,38000,0,37
20000190,0,1,0,0,1,1,2,38000,38000,27,40
20000191,0,1,1,0,1,1,2,38000,38000,120,41
20000192,1,1,1,0,1,1,2,38000,38000,177,43
20000193,0,3,2,0,1,1,2,38000,38000,0,41
20000194,0,1,2,0,1,1,2,38000,38000,45,40
20000195,0,1,0,0,1,1,2,38000,38000,24,38
20000196,0,1,1,0,1,1,2,38000,38000,47,39
20000197,0,1,0,0,1,1,2,38000,38000,0,40
20000198,0,1,0,0,1,1,2,38000,38000,34,40
20000199,0,0,2,0,1,1,2,38000,38000,23,41
20000200,0,2,0,0,1,1,2,38000,38000,82,42
20000201,0,1,2,0,1,1,2,38000,38000,0,39
20000202,0,3,0,0,1,1,2,38000,38000,38,38
20000203,0,3,2,0,1,1,2,38000,38000,28,41
20000204,1,1,1,0,1,1,2,38000,38000,47,37
20000205,1,3,3,0,1,1,2,38000,38000,0,41
20000206,0,1,1,0,1,1,2,38000,38000,22,39
20000207,0,1,2,0,1,1,2,38000,38000,30,40
20000208,0,0,2,0,1,1,2,38000,38000,145,37
20000209,0,2,0,0,1,1,2,38000,38000,1,41
20000210,1,3,3,0,1,1,2,38000,38000,161,39
20000211,0,1,0,0,1,1,2,38000,38000,27,38
20000212,0,1,0,0,1,1,2,38000,38000,161,39
20000213,0,1,1,0,1,1,2,38000,38000,0,41
20000214,1,1,1,0,1,1,2,38000,38000,152,36
20000215,0,1,2,0,1,1,2,38000,38000,17,39
20000216,1,3,3,0,1,0,2,38000,38000,104,37
20000217,1,3,3,0,1,0,2,38000,38000,0,39
20000218,0,1,2,1,1,1,2,38000,38000,83,39
20000219,0,2,0,1,1,1,2,38000,38000,30,37
20000220,0,1,1,0,1,1,2,38000,38000,73,40
20000221,0,1,1,0,1,1,2,38000,38000,0,40
20000222,0,1,2,0,1,1,2,38000,38000,55,39
20000223,0,0,0,0,1,1,2,38000,38000,130,39
20000224,0,1,0,0,1,1,2,38000,38000,41,37
20000225,0,1,2,0,1,1,2,38000,38000,0,34
20000226,0,1,2,0,1,1,2,38000,38000,50,34
20000227,0,1,2,0,1,1,2,38000,38000,10,36
20000228,0,3,0,0,1,1,2,38000,38000,41,38
20000229,1,3,3,0,1,1,2,38000,38000,0,39
20000230,0,0,2,0,1,1,2,38000,38000,54,41
20000231,0,1,2,0,1,1,2,38000,44673.08,16,38
20000232,0,0,0,0,1,1,2,38000,44673.08,39,38
20000233,0,0,2,0,1,0,2,38000,44673.08,0,38
20000234,1,0,0,1,1,1,2,38000,44673.08,47,50
20000235,0,1,2,0,1,1,2,38000,44673.08,17,39
20000236,1,1,1,0,1,1,2,38000,44673.08,25,39
20000237,0,3,0,1,1,0,2,38000,44673.08,20,36
20000238,0,1,1,1,1,1,2,38000,44673.08,29,37
20000239,1,0,2,0,1,1,2,38000,44673.08,20,39
20000240,0,1,0,0,1,1,2,38000,44673.08,29,39
20000241,0,1,2,0,1,0,2,38000,44673.08,0,39
20000242,0,1,0,0,1,1,2,38000,44673.08,60,40
20000243,0,1,2,1,1,1,2,38000,44673.08,23,40
20000244,0,1,2,0,1,1,2,38000,44673.08,50,39
20000245,0,1,0,0,1,1,2,38000,44673.08,0,41
20000246,0,0,2,0,1,1,2,38000,44673.08,46,43
20000247,0,2,0,0,0,1,10,22850,29523.08,120,45
20000248,0,1,0,0,1,0,2,38000,44673.08,63,40
20000249,0,1,0,0,0,1,10,22850,29523.08,0,44
20000250,1,1,1,0,1,0,2,38000,44673.08,72,42
20000251,0,1,0,0,1,0,2,38000,44673.08,27,38
20000252,0,1,2,1,1,0,2,38000,44673.08,63,42
20000253,0,2,0,0,1,0,2,38000,44673.08,0,46
20000254,0,1,2,0,1,1,2,38000,44673.08,50,38
20000255,0,1,0,0,1,1,2,38000,44673.08,120,37
20000256,0,2,0,0,1,1,2,38000,44673.08,182,39
20000257,0,1,0,0,1,1,2,38000,44673.08,0,46
20000258,0,0,2,0,1,1,2,38000,44673.08,41,37
20000259,1,2,0,0,1,0,2,38000,44673.08,19,34
20000260,0,1,1,0,1,1,2,38000,44673.08,300,35
20000261,0,1,2,1,1,1,2,38000,44673.08,0,35
20000262,0,2,0,0,1,1,2,38000,44673.08,44,32
20000263,0,1,1,0,1,0,2,38000,44673.08,120,35
20000264,1,0,2,0,1,1,2,38000,44673.08,72,37
20000265,0,1,1,1,1,0,2,38000,44673.08,1,38
20000266,0,1,2,0,1,1,2,38000,44673.08,52,41
20000267,0,2,0,0,1,1,2,38000,44673.08,120,40
20000268,0,1,2,0,1,1,2,38000,44673.08,55,40
20000269,0,1,2,0,1,1,2,38000,44673.08,0,38
20000270,0,2,0,0,1,1,0,34500,41173.08,49,40
20000271,1,3,3,0,1,0,0,34500,41173.08,10,39
20000272,0,0,2,0,1,1,0,34500,41173.08,83,38
20000273,0,3,2,0,1,1,0,34500,41173.08,0,39
20000274,0,3,0,0,1,1,0,34500,41173.08,60,39
20000275,0,1,2,0,1,1,0,34500,41173.08,24,41
20000276,0,1,1,0,1,0,0,34500,41173.08,46,37
20000277,0,2,0,0,1,1,0,34500,41173.08,0,40
20000278,0,1,1,0,1,1,0,34500,41173.08,25,42
20000279,0,1,1,0,1,1,0,34500,41173.08,26,38
20000280,0,0,0,0,1,1,0,34500,41173.08,81,39
20000281,0,1,0,0,1,0,0,34500,41173.08,0,39
20000282,0,0,2,1,1,1,0,34500,41173.08,40,47
20000283,0,1,2,0,1,0,0,34500,41173.08,15,38
20000284,0,2,0,0,1,1,0,34500,41173.08,63,39
20000285,0,1,2,0,1,1,0,34500,41173.08,0,39
20000286,1,0,2,0,1,0,0,34500,41173.08,66,47
20000287,0,1,2,0,1,0,0,34500,41173.08,20,39
20000288,1,1,0,0,1,1,0,34500,41173.08,77,49
20000289,0,1,2,0,0,0,0,25350,33561.54,0,43
20000290,0,2,0,0,1,0,0,34500,41173.08,39,34
20000291,0,1,1,0,1,0,0,34500,41173.08,120,33
20000292,0,1,1,0,1,0,0,34500,42711.54,40,35
20000293,1,1,3,0,1,0,0,34500,42711.54,4,40
20000294,0,0,2,0,1,0,0,34500,42711.54,30,40
20000295,0,1,1,0,1,1,0,34500,42711.54,13,53
20000296,1,1,1,0,1,0,10,35000,43211.54,55,35
20000297,0,1,1,0,1,1,10,35000,53000,0,35
20000298,0,1,2,0,1,0,10,35000,53000,34,37
20000299,0,1,1,0,1,1,10,35000,53000,7,41
20000300,0,1,1,1,1,1,10,35000,53000,65,39
20000301,0,1,0,0,1,1,10,35000,53000,0,39
20000302,0,2,0,0,1,1,10,35000,53000,82,42
20000303,0,0,2,0,1,0,10,35000,53000,120,42
20000304,0,0,2,0,1,1,10,35000,53000,77,40
20000305,0,1,1,0,1,1,10,35000,53000,0,40
20000306,0,0,0,0,1,1,0,34500,52500,170,39
20000307,0,1,1,0,1,1,0,34500,34500,34,41
20000308,0,1,0,0,1,0,0,34500,34500,30,39
20000309,0,1,2,0,1,1,0,34500,34500,0,40
20000310,0,2,0,0,1,1,0,34500,34500,60,39
20000311,0,2,0,0,1,1,0,34500,34500,30,39
20000312,0,0,2,0,1,1,0,34500,34500,171,39
20000313,0,1,1,0,1,1,0,34500,34500,0,40
20000314,0,2,0,0,1,0,0,34500,34500,84,37
20000315,0,1,2,0,1,1,0,34500,52500,20,40
20000316,0,1,0,0,1,0,0,34500,34500,46,40
20000317,1,3,3,0,1,0,0,34500,52500,0,36
20000318,0,1,1,0,1,1,0,34500,34500,60,40
20000319,0,1,1,0,1,1,0,34500,34500,7,40
20000320,0,1,0,0,1,0,0,34500,34500,65,41
20000321,0,1,2,0,1,1,7,36250,36250,30,41
20000322,0,0,2,0,1,1,7,36250,36250,48,40
20000323,1,3,3,0,1,0,7,36250,36250,21,38
20000324,0,1,2,0,1,0,7,36250,36250,30,39
20000325,0,1,0,1,1,1,7,36250,36250,0,40
20000326,0,1,2,0,1,1,7,36250,36250,54,37
20000327,1,3,3,0,1,0,7,36250,42923.08,120,38
20000328,0,0,2,0,1,1,7,36250,42923.08,115,40
20000329,0,1,0,0,1,1,7,36250,42923.08,0,38
20000330,0,3,0,0,1,1,7,36250,42923.08,55,39
20000331,0,1,1,0,1,1,7,36250,42923.08,15,39
20000332,0,0,0,0,1,0,7,36250,42923.08,35,37
20000333,0,1,0,0,1,0,7,36250,42923.08,0,40
20000334,0,1,2,0,1,0,7,36250,42923.08,55,38
20000335,0,0,2,0,1,1,7,36250,42923.08,14,38
20000336,1,3,3,0,1,1,7,36250,42923.08,65,39
20000337,0,1,2,0,1,1,7,36250,42923.08,0,38
20000338,0,1,0,0,1,1,7,36250,42923.08,55,40
20000339,0,1,1,0,1,1,7,36250,42923.08,7,37
20000340,0,0,2,0,1,1,7,36250,42923.08,44,38
20000341,0,1,2,0,1,1,7,36250,42923.08,0,39
20000342,0,0,2,0,1,1,7,36250,42923.08,59,40
20000343,0,1,1,0,1,1,7,36250,42923.08,120,40
20000344,0,1,1,1,1,1,7,36250,42923.08,53,40
20000345,0,0,2,0,1,0,7,36250,42923.08,0,40
20000346,0,1,1,0,1,0,7,36250,42923.08,31,36
20000347,0,1,0,0,1,0,7,36250,42923.08,4,41
20000348,0,1,2,0,1,1,7,36250,42923.08,37,47
20000349,0,0,0,0,1,1,7,36250,42923.08,6,38
20000350,0,1,0,0,1,1,7,36250,42923.08,60,39
20000351,0,1,1,0,1,1,7,36250,42923.08,20,38
20000352,0,0,0,0,1,1,7,36250,42923.08,40,39
20000353,0,2,0,1,1,1,1,31000,37673.08,0,44
20000354,0,3,0,0,1,1,1,31000,37673.08,100,39
20000355,0,1,0,0,1,1,1,31000,37673.08,20,39
20000356,0,1,2,0,1,1,1,31000,37673.08,77,40
20000357,1,1,0,0,1,1,1,31000,37673.08,0,41
20000358,0,1,2,0,1,1,1,31000,37673.08,34,38
20000359,0,1,2,0,1,1,1,31000,37673.08,7,41
20000360,0,1,0,0,1,1,1,31000,39211.54,68,41
20000361,0,1,0,0,1,1,1,31000,39211.54,0,39
20000362,0,0,2,0,1,1,1,31000,39211.54,160,40
20000363,1,1,1,0,1,1,1,31000,34020,8,38
20000364,0,2,0,0,1,1,1,31000,34020,55,38
20000365,0,3,0,0,1,1,1,31000,34020,0,41
20000366,1,1,0,0,1,1,1,31000,34020,46,47
20000367,0,1,2,0,1,1,1,31000,34020,5,39
20000368,1,1,1,0,1,1,1,31000,34020,112,43
20000369,0,1,1,0,1,1,1,31000,34020,0,40
20000370,1,1,0,0,1,0,1,31000,34020,182,46
20000371,0,1,2,0,1,0,1,31000,34020,3,44
20000372,0,1,1,0,1,0,1,31000,34020,54,42
20000373,0,1,1,0,1,0,1,31000,34020,0,39
20000374,0,1,2,0,1,0,1,31000,34020,62,41
20000375,0,1,0,0,1,0,1,31000,34020,10,38
20000376,0,0,2,0,1,0,1,31000,34020,177,46
20000377,0,1,0,0,1,1,1,31000,34020,4,44
20000378,1,3,3,1,1,1,1,31000,34020,61,51
20000379,0,1,2,0,1,1,1,31000,34020,5,48
20000380,0,3,0,0,1,1,5,32000,35020,29,38
20000381,0,1,1,0,1,1,5,32000,35020,0,42
20000382,1,1,1,0,1,1,5,32000,35020,38,46
20000383,0,1,1,0,1,1,5,32000,35020,120,63
20000384,0,1,0,0,1,1,5,32000,35020,110,40
20000385,1,1,3,0,1,1,5,32000,35020,0,41
20000386,0,1,0,1,1,1,5,32000,35020,28,43
20000387,0,1,1,0,1,1,5,32000,35020,10,44
20000388,0,2,0,0,1,0,5,32000,35020,174,45
20000389,0,1,1,1,1,0,5,32000,35020,0,40
20000390,0,1,1,0,1,1,5,32000,35020,52,40
20000391,0,1,0,1,1,1,5,32000,35020,50,40
20000392,0,1,0,0,1,1,5,32000,35020,45,40
20000393,0,1,0,0,1,1,5,32000,40211.54,0,38
20000394,0,0,0,0,1,1,5,32000,40211.54,66,38
20000395,0,1,2,0,1,1,5,32000,40211.54,30,39
20000396,0,1,0,0,1,1,5,32000,40211.54,63,38
20000397,0,1,2,0,1,1,5,32000,40211.54,0,39
20000398,0,1,0,0,1,1,5,32000,40211.54,90,40
20000399,0,2,0,0,1,1,5,32000,40211.54,5,39
20000400,0,1,0,0,1,1,5,32000,40211.54,63,41
20000401,0,1,0,0,1,1,5,32000,40211.54,0,41
20000402,0,1,0,0,1,1,5,32000,40211.54,57,39
20000403,0,2,0,0,1,1,5,32000,40211.54,7,39
20000404,0,2,0,0,1,1,5,32000,40211.54,41,39
20000405,1,1,1,0,1,1,5,32000,40211.54,5,40
20000406,0,1,0,0,1,1,5,32000,40211.54,51,38
20000407,0,0,2,0,1,1,5,32000,40211.54,15,38
20000408,0,0,2,0,1,0,5,32000,40211.54,82,38
20000409,0,1,0,1,1,1,5,32000,40211.54,0,39
20000410,0,1,2,0,1,1,5,32000,40211.54,62,38
20000411,0,0,0,0,1,0,5,32000,40211.54,27,54
20000412,0,0,0,0,0,0,5,21850,30061.54,157,42
20000413,0,3,2,1,1,0,2,38000,46211.54,0,41
20000414,1,1,0,0,1,0,2,38000,46211.54,49,35
20000415,1,3,3,0,1,1,2,38000,46211.54,7,41
20000416,0,1,2,0,1,1,2,38000,46211.54,52,38
20000417,0,1,0,0,1,1,2,38000,46211.54,0,38
20000418,0,0,2,2,1,1,2,38000,46211.54,25,43
20000419,0,0,2,0,1,0,2,38000,46211.54,16,40
20000420,0,1,0,0,1,0,2,38000,46211.54,39,39
20000421,1,2,0,0,1,0,2,38000,46211.54,0,39
20000422,1,2,3,0,1,1,2,38000,46211.54,75,39
20000423,0,2,0,0,1,1,2,38000,46211.54,7,39
20000424,0,0,2,0,1,1,2,38000,46211.54,28,36
20000425,0,1,0,0,1,1,2,38000,46211.54,0,34
20000426,0,0,2,0,1,1,2,38000,38000,170,36
20000427,0,3,3,0,1,1,2,38000,38000,14,33
20000428,0,1,2,0,1,1,2,38000,38000,49,35
20000429,0,0,0,0,1,1,2,38000,46211.54,0,36
20000430,0,1,0,0,1,1,2,38000,46211.54,35,38
20000431,0,1,0,0,1,1,2,38000,46211.54,4,41
20000432,0,1,0,0,1,1,2,38000,46211.54,161,39
20000433,0,1,2,0,1,1,2,38000,46211.54,10,46
20000434,0,1,1,0,1,1,2,38000,46211.54,44,38
20000435,1,1,1,0,1,1,2,38000,46211.54,30,40
20000436,1,1,3,0,1,1,3,40000,48211.54,34,38
20000437,0,1,1,0,1,1,3,40000,48211.54,0,38
20000438,0,1,0,0,1,1,3,40000,48211.54,19,38
20000439,1,1,1,0,1,1,3,40000,48211.54,7,39
20000440,1,1,1,0,1,1,3,40000,48211.54,55,38
20000441,0,1,0,0,1,1,3,40000,48211.54,0,39
20000442,0,0,2,0,1,1,3,40000,43020,68,40
20000443,1,1,1,0,1,1,3,40000,43020,15,38
20000444,0,1,2,0,1,1,3,40000,48211.54,153,43
20000445,0,1,1,0,1,1,3,40000,48211.54,0,38
20000446,0,1,2,0,1,1,3,40000,48211.54,85,38
20000447,0,1,0,2,1,1,3,40000,43020,14,38
20000448,0,1,0,2,1,1,3,40000,43020,108,39
20000449,0,1,0,0,1,1,3,40000,43020,0,37
20000450,0,3,2,2,1,1,3,40000,43020,48,39
20000451,0,1,0,0,1,1,3,40000,43020,15,38
20000452,0,1,1,0,1,1,3,40000,43020,66,37
20000453,1,3,3,0,1,0,3,40000,43020,0,35
20000454,0,3,2,0,1,1,3,40000,43020,81,42
20000455,0,1,0,0,1,1,3,40000,43020,21,41
20000456,0,0,2,0,1,1,3,40000,43020,35,41
20000457,1,1,0,0,1,1,3,40000,43020,0,38
20000458,0,2,0,0,1,1,3,40000,43020,70,39
20000459,0,1,0,0,1,0,3,40000,46673.08,22,38
20000460,0,1,0,0,1,1,3,40000,46673.08,68,39
20000461,0,1,0,2,1,1,3,40000,46673.08,8,38
20000462,0,1,2,0,1,1,3,40000,46673.08,36,39
20000463,1,0,0,0,1,0,3,40000,46673.08,30,40
20000464,0,3,2,0,1,1,3,40000,46673.08,59,38
20000465,0,0,0,0,1,1,3,40000,46673.08,0,37
20000466,0,2,0,0,1,1,3,40000,46673.08,59,39
20000467,0,1,1,2,1,1,3,40000,46673.08,12,40
20000468,0,2,0,0,1,1,3,40000,46673.08,28,38
20000469,1,1,1,0,1,1,3,40000,46673.08,0,39
20000470,0,1,2,2,1,1,3,40000,46673.08,33,39
20000471,0,1,0,0,1,1,3,40000,46673.08,10,38
20000472,0,1,1,0,1,1,3,40000,46673.08,86,39
20000473,0,1,0,0,1,1,3,40000,46673.08,0,39
